flight_id,flight_type,flight_from,flight_from_airport,flight_to,flight_to_airport
RYR9098,B738,Alicante,LEAL,Kaunas Int'l,EYKA
RYR9137,B738,Budapest Ferenc Liszt International Airport,LHBP,Cork Int'l,EICK
RYR9139,B738,Dole-Tavaux,LFGJ,Porto / Oporto,LPPR
RYR9163,B738,Birmingham Int'l,EGBB,Barcelona Int'l,LEBL
RYR9229,B738,Dublin Int'l,EIDW,Kyiv Boryspil Int'l,UKBB
RYR9622,B738,Liverpool John Lennon,EGGP,Vilnius Int'l,EYVI
RYR973,B738,Genoa Cristoforo Colombo (Sestri),LIMJ,London Stansted,EGSS
RYR9779,B738,Casale,LIBR,None,None
RYR9863,B738,Malaga,LEMG,Liverpool John Lennon,EGGP
RYR9943,B738,Cork Int'l,EICK,Arrecife (Lanzarote),GCRR
RYR9948,B738,Faro,LPFR,Cork Int'l,EICK
RYR9965,B738,Palermo Int'l (Punta Raisi Falcone-Borsellino),LICJ,Barajas Int'l,LEMD
RYR5231,B738,Ibiza,LEIB,San Pablo,LEZL
RYR5272,B738,San Pablo,LEZL,Palma de Mallorca (or Son Sant Joan),LEPA
RYR5346,B738,Dublin Int'l,EIDW,Int'l Katowice in Pyrzowice,EPKT
RYR5489,B738,Weeze,EDLV,Porto / Oporto,LPPR
RYR581,B738,Ibiza,LEIB,Vienna Int'l (Schwechat),LOWW
RYR5944,B738,Bournemouth,EGHH,Malaga,LEMG
RYR6042,B738,Podgorica,LYPG,Brussels South Charleroi,EBCI
RYR6329,B738,Sofia Airport,LBSF,Barcelona Int'l,LEBL
RYR633,B738,Copenhagen,EKCH,Dublin Int'l,EIDW
RYR6446,B738,Brussels South Charleroi,EBCI,"Thessaloniki Int'l, Makedonia",LGTS
RYR6465,B738,Zadar,LDZD,Brussels South Charleroi,EBCI
RYR6532,B738,Porto / Oporto,LPPR,Marseille Provence,LFML
RYR6611,B738,London Stansted,EGSS,Kefalonia Island Int'l,LGKF
RYR6758,B738,Vienna Int'l (Schwechat),LOWW,Aktion National (Lefkada),LGPZ
RYR68,B738,Berlin,EDDB,None,None
RYR6907,B738,Int'l Katowice in Pyrzowice,EPKT,Cork Int'l,EICK
RYR7063,B738,Alicante,LEAL,Dublin Int'l,EIDW
RYR7122,B738,Dublin Int'l,EIDW,Tenerife South (Reina Sofia),GCTS
RYR7127,B738,Gran Canaria Int'l,GCLP,Dublin Int'l,EIDW
RYR7129,B738,El Matorral,GCFV,Dublin Int'l,EIDW
RYR7199,B738,Dublin Int'l,EIDW,Arrecife (Lanzarote),GCRR
RYR7226,B738,Bristol Int'l,EGGD,Krakow Int'l,EPKK
RYR7242,B738,Dublin Int'l,EIDW,Malta Int'l (Luqa),LMML
RYR7289,B738,Vienna Int'l (Schwechat),LOWW,Santander,LEXJ
RYR7291,B738,Vienna Int'l (Schwechat),LOWW,General Humberto Delgado Airport,LPPT
RYR7327,B738,Václav Havel Airport,LKPR,Dublin Int'l,EIDW
RYR7346,B738,Dublin Int'l,EIDW,Bucharest Henri Coandă Int'l,LROP
RYR7429,B738,Alicante,LEAL,Vaxjo (Kronoberg),ESMX
RYR8053,B738,Ioannis Kapodistrias Int'l,LGKR,Budapest Ferenc Liszt International Airport,LHBP
RYR8133,B738,Gran Canaria Int'l,GCLP,London Stansted,EGSS
RYR8263,B738,Orio al Serio Int'l,LIME,Bristol Int'l,EGGD
RYR8378,B738,London Stansted,EGSS,Santiago de Compostela,LEST
RYR8422,B738,El Matorral,GCFV,Edinburgh,EGPH
RYR8507,B738,"Sandefjord, Torp",ENTO,Krakow Int'l,EPKK
RYR8555,B738,London Stansted,EGSS,Castellón–Costa Azahar,LECH
RYR8822,B738,Shannon,EINN,Kaunas Int'l,EYKA
RYR8975,B738,Alicante,LEAL,London Stansted,EGSS
RYR8YQ,B738,None,None,None,None
RYR4967,B738,Lamezia Terme Int'l,LICA,London Stansted,EGSS
RYR12,B738,"Athens Int'l, Eleftherios Venizelos",LGAV,London Stansted,EGSS
RYR129,B738,Hamburg,EDDH,Barcelona Int'l,LEBL
RYR1300,B738,Brussels South Charleroi,EBCI,General Humberto Delgado Airport,LPPT
RYR1347,B738,Tenerife South (Reina Sofia),GCTS,Shannon,EINN
RYR1544,B738,Ioannis Kapodistrias Int'l,LGKR,Václav Havel Airport,LKPR
RYR169,B738,Friuli Venezia Giulia (Trieste Ronchi dei Legionari),LIPQ,London Stansted,EGSS
RYR1916,B738,Brussels South Charleroi,EBCI,Malaga,LEMG
RYR1989,B738,Ioannis Kapodistrias Int'l,LGKR,Dublin Int'l,EIDW
RYR2107,B738,Manchester,EGCC,Ioannis Kapodistrias Int'l,LGKR
RYR215,B738,Malpensa Int'l,LIMC,Vienna Int'l (Schwechat),LOWW
RYR2150,B738,Alicante,LEAL,Birmingham Int'l,EGBB
RYR2157,B738,Malaga,LEMG,Birmingham Int'l,EGBB
RYR2169,B738,Valladolid,LEVD,Palma de Mallorca (or Son Sant Joan),LEPA
RYR2245,B738,Vilnius Int'l,EYVI,London Stansted,EGSS
RYR2256,B738,Valencia,LEVC,Cologne Bonn,EDDK
RYR2486,B738,Leeds Bradford Int'l,EGNM,Ibiza,LEIB
RYR2513,B738,Barajas Int'l,LEMD,Bucharest Henri Coandă Int'l,LROP
RYR2521,B738,Alicante,LEAL,Glasgow Int'l,EGPF
RYR2575,B738,Malaga,LEMG,Eindhoven,EHEH
RYR259,B738,Riga Int'l,EVRA,None,None
RYR2608,B738,Malaga,LEMG,Glasgow Int'l,EGPF
RYR2635,B738,Zaragoza,LEZG,London Stansted,EGSS
RYR2711,B738,Birmingham Int'l,EGBB,Ibiza,LEIB
RYR2747,B738,Kaunas Int'l,EYKA,London Stansted,EGSS
RYR279,B738,Palma de Mallorca (or Son Sant Joan),LEPA,Tegel Int'l,EDDT
RYR2804,B738,Palma de Mallorca (or Son Sant Joan),LEPA,London Southend,EGMC
RYR2916,B738,Palma de Mallorca (or Son Sant Joan),LEPA,Brussels,EBBR
RYR2924,B738,Malaga,LEMG,Brussels,EBBR
RYR3572,B738,Goteborg,ESGG,"Thessaloniki Int'l, Makedonia",LGTS
RYR373,B738,Biarritz,LFBZ,London Stansted,EGSS
RYR3851,B738,"Rhodes Int'l, Diagoras",LGRP,East Midlands,EGNX
RYR3853,B738,Ioannis Kapodistrias Int'l,LGKR,East Midlands,EGNX
RYR3965,B738,Federico Fellini Int'l,LIPR,Kaunas Int'l,EYKA
RYR4079,B738,Alicante,LEAL,Newcastle,EGNT
RYR423,B738,London Luton,EGGW,Cork Int'l,EICK
RYR4332,B738,Manchester,EGCC,Tenerife South (Reina Sofia),GCTS
RYR4449,B738,Marseille Provence,LFML,Ibiza,LEIB
RYR4485,B738,"Thessaloniki Int'l, Makedonia",LGTS,Nuremberg,EDDN
RYR4555,B738,Modlin,EPMO,Faro,LPFR
RYR4754,B738,Tenerife South (Reina Sofia),GCTS,Bristol Int'l,EGGD
RYR8859,B738,Budapest Ferenc Liszt International Airport,LHBP,General Humberto Delgado Airport,LPPT
RYR8868,B738,London Stansted,EGSS,Tours Val de Loire,LFOT
RYR9138,B738,Porto / Oporto,LPPR,Dole-Tavaux,LFGJ
RYR9162,B738,Barcelona Int'l,LEBL,Birmingham Int'l,EGBB
RYR937,B738,Perpignan Rivesaltes,LFMP,London Stansted,EGSS
RYR9387,B738,Barcelona Int'l,LEBL,East Midlands,EGNX
RYR9648,B738,Liverpool John Lennon,EGGP,Copernicus Wrocław,EPWR
RYR972,B738,London Stansted,EGSS,Genoa Cristoforo Colombo (Sestri),LIMJ
RYR9778,B738,Galileo Galilei (Pisa Int'l),LIRP,None,None
RYR9853,B738,London Gatwick,EGKK,Cork Int'l,EICK
RYR9893,B738,Malaga,LEMG,Liverpool John Lennon,EGGP
RYR99,B738,Orio al Serio Int'l,LIME,None,None
RYR5624,B738,Manchester,EGCC,Galileo Galilei (Pisa Int'l),LIRP
RYR5681,B738,London Stansted,EGSS,Eindhoven,EHEH
RYR580,B738,Vienna Int'l (Schwechat),LOWW,Ibiza,LEIB
RYR6041,B738,Brussels South Charleroi,EBCI,Podgorica,LYPG
RYR6312,B738,Brussels South Charleroi,EBCI,Faro,LPFR
RYR6375,B738,Beauvais Tille,LFOB,Barcelona Int'l,LEBL
RYR6385,B738,Santander,LEXJ,Barcelona Int'l,LEBL
RYR6421,B738,Kyiv Boryspil Int'l,UKBB,Barajas Int'l,LEMD
RYR6464,B738,Brussels South Charleroi,EBCI,Zadar,LDZD
RYR663X,B738,None,None,None,None
RYR6657,B738,Palma de Mallorca (or Son Sant Joan),LEPA,Edinburgh,EGPH
RYR6696,B738,Malta Int'l (Luqa),LMML,Edinburgh,EGPH
RYR6834,B738,Naples Int'l (Capodichino),LIRN,Manchester,EGCC
RYR7035,B738,Faro,LPFR,Dublin Int'l,EIDW
RYR7045,B738,Malaga,LEMG,Dublin Int'l,EIDW
RYR7073,B738,Porto / Oporto,LPPR,Dublin Int'l,EIDW
RYR7112,B738,Szczecin,EPSC,Liverpool John Lennon,EGGP
